LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
CALLAHAN ELEMENTARY SCHOOL (CALLAHAN) NASSAU 4 3 0 1 0 2 2 0,CALLAHAN ELEMENTARY SCHOOL (CALLAHAN),NASSAU,,,,,,,,,4,3,0,1,0,2,2,0
CALLAHAN INTERMEDIATE SCHOOL (CALLAHAN) NASSAU 3 3 0 0 0 1 2 0,CALLAHAN INTERMEDIATE SCHOOL (CALLAHAN),NASSAU,,,,,,,,,3,3,0,0,0,1,2,0
CALLAHAN MIDDLE SCHOOL (CALLAHAN) NASSAU 4 2 1 0 1 4 0 0,CALLAHAN MIDDLE SCHOOL (CALLAHAN),NASSAU,,,,,,,,,4,2,1,0,1,4,0,0
EMMA LOVE HARDEE ELEMENTARY (FERNANDINA BEACH) NASSAU 1 0 0 0 1 1 0 0 2 1 0 0 1 2 0 0,EMMA LOVE HARDEE ELEMENTARY (FERNANDINA BEACH),NASSAU,1,0,0,0,1,1,0,0,2,1,0,0,1,2,0,0
FAITH CHRISTIAN ACADEMY OF NE FL. INC. (FERNANDINA BEACH) NASSAU 2 2 0 0 0 2 0 0,FAITH CHRISTIAN ACADEMY OF NE FL. INC. (FERNANDINA BEACH),NASSAU,,,,,,,,,2,2,0,0,0,2,0,0
FERNANDINA BEACH CHRISTIAN ACADEMY (FERNANDINA BEACH) NASSAU 2 2 0 0 0 2 0 0,FERNANDINA BEACH CHRISTIAN ACADEMY (FERNANDINA BEACH),NASSAU,,,,,,,,,2,2,0,0,0,2,0,0
FERNANDINA BEACH HIGH SCHOOL (FERNANDINA BEACH) NASSAU 4 2 0 0 2 4 0 0,FERNANDINA BEACH HIGH SCHOOL (FERNANDINA BEACH),NASSAU,,,,,,,,,4,2,0,0,2,4,0,0
FERNANDINA BEACH MIDDLE SCHOOL (FERNANDINA BEACH) NASSAU 1 1 0 0 0 1 0 0,FERNANDINA BEACH MIDDLE SCHOOL (FERNANDINA BEACH),NASSAU,,,,,,,,,1,1,0,0,0,1,0,0
HILLIARD ELEMENTARY SCHOOL (HILLIARD) NASSAU 1 0 1 0 0 1 0 0,HILLIARD ELEMENTARY SCHOOL (HILLIARD),NASSAU,,,,,,,,,1,0,1,0,0,1,0,0
HILLIARD MIDDLE-SENIOR HIGH (HILLIARD) NASSAU 1 1 0 0 0 1 0 0 3 3 0 0 0 3 0 0,HILLIARD MIDDLE-SENIOR HIGH (HILLIARD),NASSAU,1,1,0,0,0,1,0,0,3,3,0,0,0,3,0,0
LINDISFARNE HALL (FERNANDINA BEACH) NASSAU 1 1 0 0 0 0 1 0,LINDISFARNE HALL (FERNANDINA BEACH),NASSAU,,,,,,,,,1,1,0,0,0,0,1,0
NASSAU COUNTY ADULT SCHOOL (YULEE) NASSAU 1 1 0 0 0 1 0 0,NASSAU COUNTY ADULT SCHOOL (YULEE),NASSAU,,,,,,,,,1,1,0,0,0,1,0,0
SONSHINE CHRISTIAN ACADEMY (CALLAHAN) NASSAU 1 0 0 0 1 1 0 0,SONSHINE CHRISTIAN ACADEMY (CALLAHAN),NASSAU,,,,,,,,,1,0,0,0,1,1,0,0
